epoch (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set,duration
2019-01-11 15:08:20.400,-0.052,0.976,-0.0545,-3.801,-0.6503333333333333,0.3049999999999999,B,bench,heavy,64,16.0
2019-01-11 15:08:20.550,-0.0195,0.9375,-0.0575,3.29275,-2.3935,-0.991,B,bench,heavy,64,16.0
2019-01-11 15:08:20.700,-0.049,1.0,-0.055,0.15225,-3.07925,0.9605,B,bench,heavy,64,16.0
2019-01-11 15:08:20.850,-0.0409999999999999,0.9615,-0.067,4.2985,-3.2925,-1.0975,B,bench,heavy,64,16.0
2019-01-11 15:08:21.000,-0.042,0.99,-0.042,-4.39,-0.996,-0.386,B,bench,heavy,64,16.0
2019-01-11 15:08:21.150,-0.0465,0.9625,-0.061,3.5975,-4.756,2.60675,B,bench,heavy,64,16.0
2019-01-11 15:08:21.300,-0.0455,0.962,-0.0635,0.53375,-3.811,-0.3505,B,bench,heavy,64,16.0
2019-01-11 15:08:21.450,-0.051,0.979,-0.0605,1.23475,-1.85975,-0.122,B,bench,heavy,64,16.0
2019-01-11 15:08:21.600,-0.0495,0.9775,-0.059,-1.1786666666666663,-4.471666666666667,3.719333333333333,B,bench,heavy,64,16.0
2019-01-11 15:08:21.750,-0.039,0.944,-0.0535,4.34475,-0.93,-1.707,B,bench,heavy,64,16.0
2019-01-11 15:08:21.900,-0.042,0.9895,-0.07,4.2835,-3.24675,1.98175,B,bench,heavy,64,16.0
2019-01-11 15:08:22.050,-0.0574999999999999,0.96,-0.0875,-2.94225,-1.11275,-1.15875,B,bench,heavy,64,16.0
2019-01-11 15:10:08.400,0.005,0.9625,-0.078,2.0323333333333333,-5.122,-3.7193333333333336,A,bench,heavy,72,16.0
2019-01-11 15:10:08.550,-0.0055,0.9725,-0.0854999999999999,1.448,-3.97875,-1.4635,A,bench,heavy,72,16.0
2019-01-11 15:10:08.700,-0.015,0.928,-0.101,3.643,-1.84425,-4.20725,A,bench,heavy,72,16.0
2019-01-11 15:10:08.850,-0.0335,0.8494999999999999,-0.1335,10.33575,-2.4844999999999997,-12.2865,A,bench,heavy,72,16.0
2019-01-11 15:10:09.000,-0.049,0.875,-0.171,19.166333333333338,-5.4879999999999995,-12.114,A,bench,heavy,72,16.0
2019-01-11 15:10:09.150,-0.079,0.883,-0.1565,15.22875,-8.58225,-9.10075,A,bench,heavy,72,16.0
2019-01-11 15:10:09.300,-0.1035,0.909,-0.1664999999999999,0.3812499999999999,-11.32625,-2.59125,A,bench,heavy,72,16.0
2019-01-11 15:10:09.450,-0.1154999999999999,0.963,-0.1765,-1.6005,-13.73475,10.6555,A,bench,heavy,72,16.0
2019-01-11 15:10:09.600,-0.091,0.9955,-0.135,-8.109666666666667,-16.05666666666667,20.508,A,bench,heavy,72,16.0
2019-01-11 15:10:09.750,-0.145,1.4245,-0.156,-6.76825,-0.4117499999999996,-8.15575,A,bench,heavy,72,16.0
2019-01-11 15:10:09.900,-0.1465,1.027,-0.1185,-8.3385,10.47275,-21.7375,A,bench,heavy,72,16.0
2019-01-11 15:10:10.050,-0.1585,0.941,-0.1355,10.3355,8.5975,-5.5335,A,bench,heavy,72,16.0
2019-01-11 15:10:10.200,-0.158,0.936,-0.106,6.605666666666667,4.512333333333333,2.8249999999999997,A,bench,heavy,72,16.0
2019-01-11 15:10:10.350,-0.1525,0.9535,-0.144,-5.5335,1.72275,4.32925,A,bench,heavy,72,16.0
